Data,Valor,Destino / Origem,Descricao,Tipo,Categoria,Subcategoria,Nome,Conta,Notas
2025-04-03,-171.92,EC *TICKETMASTER,Compra no Cartão de Crédito,Gasto,Entretenimento,Show,Ticketmaster,2,
2025-07-03,-340.0,EC *TICKETMASTER,Compra no Cartão de Crédito,Gasto,Entretenimento,Show,Ticketmaster,2,
2025-07-08,-4.3,SITPASS*1T250708-EL4V,Compra no Cartão de Crédito,Gasto,Transporte,Transporte Público,Sitpass,2,
2025-07-08,-4.3,SITPASS*1T250708-0FWQ,Compra no Cartão de Crédito,Gasto,Transporte,Transporte Público,Sitpass,2,
2025-07-09,-36.95,UBER* PENDING,Compra no Cartão de Crédito,Gasto,Transporte,Transporte por App,Uber,2,
2025-07-09,-4.3,SITPASS*1T250709-RZ63,Compra no Cartão de Crédito,Gasto,Transporte,Transporte Público,Sitpass,2,
2025-07-09,-45.8,TAVERNA COM DADO,Compra no Cartão de Crédito,Gasto,Entretenimento,Boardgames,Taverna com Dado,2,
2025-07-10,-4.3,SITPASS*1T250710-GSFB,Compra no Cartão de Crédito,Gasto,Transporte,Transporte Público,Sitpass,2,
2025-07-10,-4.3,SITPASS*1T250710-49JK,Compra no Cartão de Crédito,Gasto,Transporte,Transporte Público,Sitpass,2,
2025-07-11,-11.97,UBER* PENDING,Compra no Cartão de Crédito,Gasto,Transporte,Transporte por App,Uber,2,
2025-07-11,-4.3,SITPASS*1T250711-CT61,Compra no Cartão de Crédito,Gasto,Transporte,Transporte Público,Sitpass,2,
2025-07-11,-58.0,TAVERNA COM DADO,Compra no Cartão de Crédito,Gasto,Entretenimento,Boardgames,Taverna com Dado,2,
2025-07-12,-50.0,AUTO POSTO ESTRADA DOS,Compra no Cartão de Crédito,Gasto,Transporte,Gasolina,Posto,2,
2025-07-14,-11.9,EBN*SPOTIFY,Compra no Cartão de Crédito,Gasto,Entretenimento,Assinaturas e Streaming,Spotify,2,
2025-07-16,1527.06,Pagamentos Validos Normais,Compra no Cartão de Crédito,Transferência,Contas Próprias,Fatura do Cartão de Crédito,Pagamentos Validos Normais,2,
2024-10-31,-51.68,SENAI DEPART*SENA,Compra no Cartão de Crédito,Gasto,Educação,Faculdade,Senai,2,
